type_id,"stop_num","stop_title",parent_tour,stop_id
1,"167","The History of Armor",1,1
1,"166","The Kienbusch Collection",1,2
2,"657","Carousel Pig",2,3
1,"168-2","The Ten Commandments of Chivalry",1,4
1,"168","Who Was a Knight?",1,5
1,"169","Wearing Armor",1,6
1,"170","Keeping Armor Clean",1,7
1,"171","Heraldry",1,8
1,"172","Corinthian Helmet",1,9
1,"173","Scottish Sword",1,10
1,"174","Visored Sallet",1,11
1,"175","Breastplate, Fauld and Tassets",1,12
1,"176","Field Armor",1,13
1,"177","Polearms",1,14
1,"178","Boy's Armor",1,15
1,"179","Gestech Armor",1,16
1,"180","Tournament Armor",1,17
1,"181","Cuirass for a Large Man",1,18
1,"182","Waistcoat Corselet for Shipboard Combat",1,19
1,"183","Muzzles and Chanfrons",1,20
1,"184","A Knight's Horse",1,21
1,"185","Armor for Tournaments on Foot",1,22
1,"186","Painted Rondache",1,23
1,"187","Stained Glass Coats of Arms",1,24
1,"188","Two-Handed Sword",1,25
1,"189","Helmets",1,26
1,"190","Cuirass and Gorget of Field Armor",1,27
1,"191","Painted Targe",1,28
1,"192","Brigandine",1,29
1,"193","Pauldron",1,30
1,"194","Ceremonial Buckler",1,31
1,"195","Gauntlets",1,32
1,"196","Armor Simulating Ottoman Armor",1,33
1,"197","Alexandria Sword",1,34
1,"198","Cup Hilted Rapiers",1,35
1,"199","Crossbows",1,36
1,"200","Hunting",1,37
1,"204","Hungarian Mail Shirt",1,38
1,"205","Pair of Flintock Pistols",1,39
1,"206","Turban Helmet",1,40
1,"207","Miniature Pistols",1,41
1,"208","Kentucky Rifles",1,42
2,"658","David Drake - Storage Jar",2,43
2,"659","Rush - Tragedy and Comedy",2,44
2,"660","Latrobe Furniture Suite",2,45
2,"661","18th-Century Furniture",2,46
2,"662","Copley - Boy with Squirrel",2,47
2,"663","Colonial Silver",2,48
2,"664","A Bed-Chair",2,49
2,"665","Tall Case Clock",2,50
2,"666","Peale - Staircase Group",2,51
2,"667","Symbols of a New Nation",2,52
2,"668","Dining Room Sideboard",2,53
2,"669","African American Face Jugs",2,54
2,"670","Wood-Burning Stove",2,55
2,"671","Shaker Inventions - part 1",2,56
2,"671-2","Shaker Inventions - part 2",2,57
2,"671-3","Shaker Inventions - part 3",2,58
2,"671-4","Shaker Inventions - part 4",2,59
2,"672","Glass Pungents",2,60
2,"673","Making Glass",2,61
2,"674","Victorian chairs",2,62
2,"675","Punch Bowl",2,63
2,"676","Moran - Grand Canyon",2,64
2,"677","Pennsylvania German Furniture - part 1",2,65
2,"677-2","Pennsylvania German Furniture - part 2",2,66
2,"677-3","Pennsylvania German Furniture - part 3",2,67
2,"678","Pennsylvania German Show plates",2,68
2,"679","Fish Decoys",2,69
2,"680","Hicks - Noah's Arc",2,70
2,"681","Raleigh - Chilly Observation",2,71
2,"682","Church - Scene in the Andes",2,72
2,"683","Hovenden - Breaking Home Ties",2,73
2,"684","Homer - Lifeline",2,74
2,"685","Tanner - Portrait of Mother",2,75
2,"686","Harnett - Five-Dollar Bill",2,76
2,"687","Herter Bedroom Suite",2,77
2,"688","Cup and Saucer",2,78
2,"689","Pippin - End of War",2,79
2,"690","Garber - Orchard Window",2,80
